Date of event,Name of event,At approximately what time did you arrive at this event?,At approximately what time did you leave this event?,Please rate your overall satisfaction with this event.,Please elaborate on your rating above - why do you feel this way?,"If this event were to happen again in the future, what could we do to improve your experience?","Based on your impression of the event prior to attending (from marketing, communications, word of mouth, etc.) how well did the event meet your expectations?",What could we have done differently to meet your expectations?,How safe did you feel at the event?,Did you feel the event was inclusive?,What could we have done differently to make the event more inclusive?,How fun did you feel the event was?,Please provide any additional feedback you have about this event that has not been shared in your answers to previous questions.,How satisfied are you with social life at Bates overall?,Please elaborate on your rating above - why do you feel this way?,"Please provide ideas, if any, for ways to improve social life on campus, or for events or activities that you would like to attend on campus.",Class year
17-Sep-22,Bateschella,9:45 PM,11:15 PM,4 - Satisfied,"The environment was good and felt safe, but the student interaction was limited. ",,3 - Met my expectations,,5 - Very safe,Yes,,4 - Fun,,3 - Neither satisfied nor dissatisfied,I feel like there are a good mixture of things to do.,,2026
17-Sep-22,Bateschella,10:15 PM,12:00am (midnight),5 - Highly satisfied,I really enjoyed having live music. It was great to have an event that everyone could attend.,,3 - Met my expectations,,5 - Very safe,Yes,,5 - Very fun,,4 - Satisfied,"I feel that orientation week did a great job of helping us adjust and meet people. I have been able to make good friends besides those on my sports team which is important to me. Most nights we are able to find fun activities. I also appreciate that most people really prioritize their school work, so I never feel out of place doing my assignments.",I think that more craft or active events would be very fun.,2026
17-Sep-22,Bateschella,10:00 PM,11:30 PM,4 - Satisfied,Plenty of things to do and free pizza and poutine. Good social environment. Live music was good.,,4 - Exceeded my expectations,,5 - Very safe,Yes,,5 - Very fun,"The only thing I would consider changing would be concert times. I think the artists would have had a bigger crowd if music started at dusk and the night finished off with dj mixes. Most students had either retired for the night or found parties by the time the last act came up. Overall great event, fun and easy to navigate. Poutine was an excellent idea. ",4 - Satisfied,Plenty of chances to meet people and have fun. Everything feels very open and happens on the individual's terms.,anything involving food is always a good idea. Smores at orientation and poutine have been my favorites so far. djs and dancing are always a hit too.,2024
3-Dec-22,Snowball,10:30 PM,12:15 AM,4 - Satisfied,"It was fun, pizza and music was good!",,3 - Met my expectations,,4 - Safe,Yes,,4 - Fun,,2 - Dissatisfied,"Social life overall includes nightlife, and many things get shit down very fast, so weekends aren’t super fun. But social life in terms of friendships are great.",,2024
17-Sep-22,Bateschella,10:30 PM,12:00am (midnight),4 - Satisfied,There were a multitude of events present and most were fun. The event also allowed me to make new friends and bond with old ones.,,3 - Met my expectations,,4 - Safe,Yes,,4 - Fun,,4 - Satisfied,I have met friends that I am comfortable with and most people are relatively nice.,,2026
29-Oct-22,Halloween Dance 2022,10:30 PM,1:30 AM,4 - Satisfied,"Overall, the event was enjoyable; but the pizza was kind of dry...and the songs weren't too echoable. ",,3 - Met my expectations,,5 - Very safe,Yes,,4 - Fun,,4 - Satisfied,It's okay; sometimes school work takes away most of the social times.,,2026
3-Dec-22,Snowball,10:45 PM,11:30 PM,4 - Satisfied,I thought it would feel like a high school dance but many more students came,,4 - Exceeded my expectations,,4 - Safe,Yes,,4 - Fun,,5 - Highly satisfied,I’ve made my friends and do not feel forced to go out if I don’t want to,,
17-Sep-22,Bateschella,9:15 PM,11:00 PM,4 - Satisfied,I had a lot of fun. I just wish the crowd at the concert was bigger.,,4 - Exceeded my expectations,,4 - Safe,Yes,,4 - Fun,,3 - Neither satisfied nor dissatisfied,"As a sophomore, I feel like friend groups are kind of solidified, but I just left mine. Finding new people is a little difficult.",,2025
17-Sep-22,Bateschella,9:30 PM,11:15 PM,4 - Satisfied,It was what I expected! Fun music and activities but also lots of standing around. I wish there were more things to do. Food was good!,,3 - Met my expectations,,4 - Safe,Yes,,4 - Fun,,4 - Satisfied,I have a good balance of going out on weekends and having small hangouts with friends.,Have more music festivals or dance parties with good DJs!,2026
17-Sep-22,Bateschella,9:00 PM,10:30 PM,4 - Satisfied,It was fun and entertaining.,,3 - Met my expectations,,4 - Safe,Yes,,4 - Fun,,4 - Satisfied,People are nice.,,2026
17-Sep-22,Bateschella,9:45 PM,11:15 PM,4 - Satisfied,"Love the music, photo booths, and games, but I thought there would be giant slides.",,3 - Met my expectations,,5 - Very safe,Yes,,4 - Fun,,4 - Satisfied,There are considerable amount of activities and are enough for a college in a ├óÔé¼┼ôsmall city├óÔé¼┬Ø.,,2025
10-Sep-22,Bateschella,10:00 PM,11:15 PM,3 - Neither satisfied nor dissatisfied,"Some parts were goods like the Photo Booth and the performances, but then there wasn't a lot to do. ",My games on the field,3 - Met my expectations,,5 - Very safe,Yes,,3 - Neither fun nor not fun,,3 - Neither satisfied nor dissatisfied,Social life is good when you are with your friends.,,2025
17-Sep-22,BATESCHELLA,9:30 PM,11:45 PM,3 - Neither satisfied nor dissatisfied,"It was fine, but wasn't super amazing or anything. The music area was a bit small and crowded and was extremely loud, the bouncy house was a bit small, and the axe-throwing didn't work very well because the velcro didn't stick well. I liked that there was free poutine though.","Increase the sizes of the attractions (bouncy house, music area, etc)",2 - Met some of my expectations,"I wasn't expecting much, so technically my expectations were met.",3 - Neither safe nor unsafe,Yes,,3 - Neither fun nor not fun,,3 - Neither satisfied nor dissatisfied,"I mostly socialize with my own friends instead of going to Bates-sponsored events, so it's fine.",,2024
17-Sep-22,Bateschella,9:30 PM,12:15 AM,4 - Satisfied,"Personally, loved the free food! A few people I knew who couldn't have cheese were a bit disappointed though. Music was fun, and loved the Jenga. there was just a lot of space between the event spaces/stations which made things feel a little anemic. Makes sense for the covid-conscious though. Good event overall imo.",,3 - Met my expectations,,4 - Safe,Yes,,4 - Fun,,4 - Satisfied,I have good friends who host cool events.,,2023
29-Oct-22,Halloween Dance,10:15 PM,12:30 AM,4 - Satisfied,"Everyone at the dance definitely had a lot of spirit! I enjoyed the music and the photobooth. The dance floor did get very crowded at times, though I don't think that is something that Campus Life is able to prevent. All around I was very satisfied with the event!",,4 - Exceeded my expectations,,4 - Safe,Yes,,4 - Fun,,4 - Satisfied,I enjoy social events with close friends but am dissatisfied with many of the parties on campus.,,2026
17-Sep-22,Bateschella,10:00 PM,12:15 AM,5 - Highly satisfied,The event had lots of different activities as well as the live music. There was good food and water provided. I felt secure and able to have fun.,,4 - Exceeded my expectations,,5 - Very safe,Yes,,5 - Very fun,,4 - Satisfied,I feel that there are so many social opportunities to get involved with but it can be challenging to make yourself go and sometimes it's awkward at first.,Definitely more live music!!,2026
17-Sep-22,bateschella,9:30 PM,12:15 AM,4 - Satisfied,All of the games were super fun and I loved that there was poutine! I wasn't a huge fan of the artists that played but that's just my personal opinion and taste.,,4 - Exceeded my expectations,,4 - Safe,Yes,,4 - Fun,,4 - Satisfied,The social events have all been really fun and I like the people here a lot.,,2026
29-Oct-22,Halloween Dance,10:45 PM,12:15 AM,5 - Highly satisfied,It was very fun.,,5 - Greatly exceeded my expectations,,4 - Safe,Yes,,5 - Very fun,,4 - Satisfied,I wish there were more dances like this because partying at off-campus houses (as a woman) often feels unsafe.,More dances like this!,2023
17-Sep-22,Bateschella,10:00 PM,11:00 PM,4 - Satisfied,I thought it was really fun and loved all the different activities that were available.,,3 - Met my expectations,,5 - Very safe,Yes,,4 - Fun,,4 - Satisfied,"I have met lots of fun and nice people in my time here. I think it would be fun to have more events to attend on the weekends (and more advertising for them), even if they are smaller than Bateschella.",,2026
17-Sep-22,Bateschella,8:45 PM,10:30 PM,4 - Satisfied,"It was pretty fun, but the lines were long ",,3 - Met my expectations,,4 - Safe,Yes,,4 - Fun,,4 - Satisfied,There├óÔé¼Ôäós fun but you can always have some alone time,,2026
17-Sep-22,Bateschella,9:45 PM,12:15 AM,4 - Satisfied,"At first I was a little underwhelmed by the event because there were not that many people around, but once more students started to arrive it definitely got more interesting. I think the activities were different enough to attract all types of students so that everyone could be satisfied and have fun. It was really cool that multiple music groups performed throughout the night, and I appreciated the food and fun stations on the field. ",,3 - Met my expectations,,5 - Very safe,Yes,,4 - Fun,I think this event would have been just a little bit better is there was dessert in addition to pizza.,3 - Neither satisfied nor dissatisfied,"So far, I have found everyone to be kind and welcoming. Finding and maintaining friendships at the beginning of a social group is sort of difficult to me and has probably been the part of Bates that has given me the most strife up till now, but as we are settling into a rhythm of campus life I have found it is getting better. I was a little surprised how many parties people have been going to because that was not necessarily the impression I got about Bates while touring and talking to students, but I have found there are always people who dont want to go out and it hasn't been that big of a deal yet.","I really like the idea of FYCs, but for me, especially during orientation, it felt kind of limiting since we ate every meal and went to events together. I did not connect very closely to people in my group, but I've made friends with people from another FYC, so I think in general it would be nice if there were just more events that made small groups (even between class years) so that people (especially first years) could branch out faster. I also think events like campus wide scavenger hunts would be fun or big relay races. Something that gets the entire campus involved would be very cool. ",2026
17-Sep-22,Bateschella,9:30 PM,12:15 AM,4 - Satisfied,"It was really fun, I just wish the musicians, especially as it got later into the night, were more high energy. ",,5 - Greatly exceeded my expectations,,5 - Very safe,Yes,,4 - Fun,,5 - Highly satisfied,"There have been a lot of social opportunities, either through clubs or campus life",,2026
17-Sep-22,Bateschella,9:45 PM,11:00 PM,4 - Satisfied,"It was a good experience, I just think there could have been more things going on on the field. The few options resulted in really long lines and completing every activity fairly quickly. But it was great overall, the food truck was a great idea and the performances were good. ",,2 - Met some of my expectations,Had more activities to do,5 - Very safe,Yes,,3 - Neither fun nor not fun,"I was disappointed in the fact that there was a prop for the photo booth that was racially and culturally insensitive. It was a Rasta's hat with dreadlocks, and I think it was extremely inappropriate and disrespectful to have that included in the props.",3 - Neither satisfied nor dissatisfied,I think it could be a bit more socially inclusive,,2026
29-Oct-22,Halloween Dance,10:30 PM,12:30 AM,5 - Highly satisfied,It was a very fun experience and I enjoyed the music that was played.,,4 - Exceeded my expectations,,4 - Safe,Yes,,4 - Fun,Bates should do more activities like this.,3 - Neither satisfied nor dissatisfied,"I enjoy going out on weekends with my friends, though it can be somewhat difficult to find somewhere to go. ",More campus events!,2026
17-Sep-22,BATESCHELLA,10:00 PM,12:00am (midnight),4 - Satisfied,"I thought that the event was fun, however, I think that it would be really awesome if after the campus bands played there could be artists that are more well known by the student population. For example, I know in Bates' history Waka Floka has performed, and I think that there would be a larger turn out of students if the performer was more mainstream. ",,3 - Met my expectations,,4 - Safe,Yes,,4 - Fun,"I knew of a lot of Bates students who had guests this weekend that were not allowed into the event because they are not Bates students. I understand that this policy exists for the safety of students and the Bates community, but I am hoping that in the future this policy may be amended. For example, Bates students could have the option to obtain one guest pass, and their guest would have to register with their own email address from their university, and then also bring their respective student ID to the event. This would let people who have a sibling or significant other who is visiting be included in the event. I understand that this rule is in place for the safety of the Bates community, but I am hoping that maybe this can be at least considered for future events. ",4 - Satisfied,"I feel as though I am involved enough with activities at Bates, so I enjoy my social life.",,2025
17-Sep-22,Bateschella,9:30 PM,12:00am (midnight),4 - Satisfied,I wish there were more activities on Garcelon and more food options,,4 - Exceeded my expectations,,5 - Very safe,Yes,,4 - Fun,,4 - Satisfied,i wish we had more events like this,,2025
17-Sep-22,Bateschella,10:30 PM,11:15 PM,3 - Neither satisfied nor dissatisfied,Activities had long lines and there were not many upper clansman,"More incentive to go, maybe more food. ",1 - Did not meet my expectations,More student run activities. Many campus employed adults made the event intimidating.,5 - Very safe,No,"Wish there was a guest policy where I could have registered my boyfriend who does not go to Bates. I understand not wanting random people to show up, but there should be a safe way to have guests attend. ",3 - Neither fun nor not fun,,3 - Neither satisfied nor dissatisfied,"Really depends. Sometimes I feel like there is nothing going on on campus or that when there is something going on, campus life or Lewiston PD end it fast. I was excited for theme dances and other pre covid activities to come back but I was told that many of those traditions are dead and administration doesn├óÔé¼Ôäót want them to come back. Overall it doesn├óÔé¼Ôäót really feel like there├óÔé¼Ôäós anywhere to just hang out on campus besides commons. ","Senior events, theme dances, more hang out spaces, maybe big showings of debates, big football games etc. ",2023
17-Sep-22,BatesCHELLA,9:00 PM,12:00am (midnight),4 - Satisfied,"I enjoyed myself but as far as CAT-run activities go, I would prefer something more like Gala last year.",,3 - Met my expectations,,4 - Safe,Yes,,4 - Fun,,3 - Neither satisfied nor dissatisfied,I wish we had more events like the one last night.,,2024
17-Sep-22,Bateschella,10:00 PM,11:00 PM,2 - Dissatisfied,"Nothing was particularly enticing besides the food truck. The mechanical unicorn was fun, but everything else was pretty subpar. There weren't a ton of activities to do, and the axe throwing wasn't quite what I thought it was. The bouncy castle could fit three adults max and the music was too loud├óÔé¼ÔÇØyou couldn't actually stay in the tent. There was also no slide, which i thought I had read about somewhere. It wasn't that fun.","There should be more events listed. I think other booths for small things would be nice, like other physical activities and whatnot. I also couldn't find the bungee run, which I was pretty disappointed about. Corn hole was fine, but didn't really fir the theme too well.",2 - Met some of my expectations,The event was relatively dead and boring. Could we have more bands and stands?,5 - Very safe,No,"Bateschella is not accessible for all people, especially those with physical disabilities.",2 - Not fun,,3 - Neither satisfied nor dissatisfied,"There doesn't seem to be much of a social life here. I have no idea where people are most of the time because the campus feels like a ghost town during the weekends. The gatherings aren't really fun, either. However, I am satisfied with my private social life.",Music festivals with live artists would be nice. I also happen to love arts and crafts fairs├óÔé¼ÔÇØor any fair in general.,2024
17-Sep-22,Bateschella,9:00 PM,10:15 PM,4 - Satisfied,It was fun and the music was good,,3 - Met my expectations,,4 - Safe,Yes,,4 - Fun,,5 - Highly satisfied,It├óÔé¼Ôäós good,,2023
17-Sep-22,Bateschella,9:15 PM,9:45 PM,2 - Dissatisfied,I simply felt like there was a lot of anticipation for something that resulted in just a lot of wandering through the field aimlessly.,Maybe move the attractions closer together and have better food.,2 - Met some of my expectations,See above.,5 - Very safe,Yes,,2 - Not fun,,4 - Satisfied,I enjoy being with my friends and I don't feel bored on the weekends.,,2026
17-Sep-22,Bateschella,9:30 PM,10:30 PM,4 - Satisfied,Fun,,4 - Exceeded my expectations,,5 - Very safe,Yes,,4 - Fun,,5 - Highly satisfied,fun,,2026
29-Oct-22,Halloween Dance,10:15 PM,12:30 AM,4 - Satisfied,I thought the event went well. I thought the decorations were really cool and I liked the photo booth. It was fun seeing everyone's costumes in the costume contest as well.,,3 - Met my expectations,,4 - Safe,Yes,,3 - Neither fun nor not fun,,4 - Satisfied,"I feel like Bates organizes a reasonable amount of social events. I am not much of a party person anyway, so I feel pretty satisfied with all the events that have happened so far.",,2026
24-Sep-22,BatesChella,10:00 PM,11:30 PM,2 - Dissatisfied,I expected there to be better music than what there was. I wanted it to be more of a dance than a VCS style event.,Please bring back dances!!,3 - Met my expectations,,5 - Very safe,Yes,,3 - Neither fun nor not fun,,4 - Satisfied,I usually like the campus life events and there are typically fun things going on consistently.,All school dances!!!,2025
17-Sep-22,Bateschella,10:15 PM,12:30 AM,4 - Satisfied,I had a good time. Not the best time of my life but that probably couldn't be changed by anything infrastructural.,,2 - Met some of my expectations,I felt like it was a little all over the place. The pizza and stuff was outside of the actual venue sort of thing so you had to keep showing your wristband and sometimes standing in line again. It felt a little discombobulated.,4 - Safe,Yes,,4 - Fun,Thanks for the pizza and the free fries! That was super cool of you guys. College students always love food. Free food is even better.,3 - Neither satisfied nor dissatisfied,"The party scene is kind of odd as compared to other schools. Lots of athletic exclusivity, and I know that's tough to change from an administrative point of view but it's still there. Especially for non-athlete first years, I think parties just sort of suck and are very freshman and hot and gross. Then, because it's not fun, kids try to drink more to make it more fun and end up going way too far.     The social events you guys put on are helpful. Always good to have something to show up to. Bateschella, club fair, etc. Also, the multifaith chaplaincy stuff has been great to meet people at in a genuine way. It's a very inclusive and peaceful environment.     The cops are annoying. ","School ping pong tourney. With an actual prize like 100 bucks of college store credit or a kims gift card or something else cool and worth winning for.   Honestly just intramurals in general. But like, one day events. A lot easier to show up and sustain effort at than week or weeks long ones.     Encourage use of the grills for club activities. Or just in general... Kalperis Hall cookout or something like that for people to sort of mingle. With games and stuff outside. Good food to encourage people to come. Friday afternoon or something.     I really wish the Den was open but I know that's not able to change right now. Looking forward to it next year.     Intramural dodgeball     Themes for field hockey games maybe? We could get hype for them.     Surf trip!!! does the outing club still do that?     Keep bringing cool artists to campus.     VCS? When will it start in earnest?     Cool speakers and stuff. Ted talk, Bates edition. Even a concert pianist or something might be pretty dope.     Theater department outsources playwriting to a group of potentially intoxicated college students (of age, of course). They get 48 hours to create a quality performance. The whole well hydrated school attends and supports.     Free pumpkins for Halloween. Then we all socialize with our friends to decorate them and stuff.     An espresso machine in Commons would improve social life tenfold in a plethora of different ways. More energy = more conversation = more friendships. People are happier when they can maximize their creativity into a quality product (think latte with espresso and milk instead of coffee and milk. Way closer to the real thing).     School cookoff. Like Gordon Ramsey chef competition. People enter and compete in various sections (dessert, salad, entree, best overall, etc) but they can only use stuff in commons. Could be online and over a week too.     Permanent outdoor ping pong tables and you check out the stuff from some easily accessible area. Purdue Uni has this and it's a hit.     Oktoberfest down Frye street. Or on Garcelon or the quad or whatever you think's best. This would actually be such a hit. If you guys just sort of helped out with the cop situation that'd be sick. And maybe got free giant pretzels for the first 700 students again. And live music! But rowdy stuff that's fun and dorky and weird and all. Please, if you disregard all of the above, take this one seriously. I would LOVE to dress up in lederhosen and fake a bad german accent. This would improve student mental health and social life by so much. ",2026
17-Sep-22,Bateschella,9:15 PM,11:00 PM,4 - Satisfied,I had fun. I wish there were more famous performers. Uche was my favorite and the best performer there.,,2 - Met some of my expectations,"Had more blow-up stuff, better musicians, more things taking up more space ",5 - Very safe,Yes,,4 - Fun,"Please do more stuff! The poutine truck was awesome, the pizza was great, the unicorn was awesome too",3 - Neither satisfied nor dissatisfied,There├óÔé¼Ôäós not a lot of really fun social events,"Perhaps more concerts, events with more exciting stuff like the mechanical unicorn, axe throwing, stuff like that",2024
17-Sep-22,Bateschella,10:15 PM,11:00 PM,2 - Dissatisfied,There wasn├óÔé¼Ôäót enough to do to keep me engaged for more than about an hour with the low attendance.,"I├óÔé¼Ôäóm not sure, but maybe more field games and music variety.",3 - Met my expectations,,5 - Very safe,Yes,,2 - Not fun,,4 - Satisfied,I├óÔé¼Ôäóve found a good crowd with which I can have fun at different types of events.,,2024
